AX,AY,AZ,GX,GY,GZ,Type
-2.87,-3.05,-8.68,-0.01,0.02,-0.01,4.0
-2.23,-3.34,-10.09,2.7,0.99,0.03,4.0
-3.04,-2.18,-8.3,0.15,-0.01,-0.01,4.0
4.14,2.2,-8.41,0.0,0.02,0.0,4.0
-2.7,-0.85,-9.31,-0.06,-0.08,-0.02,4.0
-2.82,-0.53,-9.18,-0.01,0.01,-0.01,4.0
-2.9,-0.45,-9.18,-0.01,0.02,-0.01,4.0
-3.53,-0.91,-8.94,-0.01,0.02,-0.01,4.0
-3.47,-1.17,-8.93,0.01,0.0,-0.01,4.0
-3.4,-1.42,-8.88,0.11,-0.04,0.0,4.0
-3.48,-1.28,-8.88,0.0,0.01,-0.01,4.0
-3.53,-1.37,-8.79,0.01,0.01,-0.01,4.0
-3.53,-1.34,-8.86,0.04,0.0,-0.01,4.0
-3.83,-1.19,-8.7,0.0,0.01,-0.01,4.0
-3.78,-1.2,-8.77,-0.01,0.01,-0.01,4.0
-3.78,-1.23,-8.79,0.0,0.02,-0.01,4.0
